start	end	text
0	5880	Всем привет, меня зовут Евгений Гошев. Я спортсмен, физический терапевт и специалист по комплексной работе с телом.
5980	12000	Сегодня мы сделаем с вами специальную работу, тренировку, утреннюю зарядку для наших тазобедренных суставов.
12040	19500	Мобильность тазобедренных суставов крайне важна, потому что именно из-за них, из-за плохой мобильности у нас возникают более поясницы.
20060	25180	И в целом это ограничивает наше движение, нашу свободу и наше удовольствие от жизни.
25740	27240	Давайте приступим к самой зарядке.
27500	29260	Итак, приступаем к первому упражнению.
29260	37580	Садимся в позицию 90-90 и начинаем медленно опускаться животом на колено.
38340	40980	Далее после этого меняем в сторону местами.
44540	49000	Меняем ножки и делаем так в течение одной минуты.
50700	52940	Стараемся тянуться к коленочке животом.
56130	64630	Упражнение очень хорошо улучшает травообращение и мобильность тазобедренных суставов.
65470	70070	Основное, что вы должны почувствовать, это натяжение в области ягодиц.
75770	80210	Если есть какие-то ограничения в коленых суставах, можете немножечко упрости себе жизнь.
81170	86210	Поставить ручку здесь и с помощью руки выталкивая себя наверх.
93270	94870	Делаем, делаем.
107050	109490	Отлично, переходим к следующему упражнению.
109490	113590	В следующем упражнении мы снимаем напряжение с повздошно-поясничной мышцы.
114190	118930	Выстраиваемся следующим образом, смотрим обязательно положение нашего таза.
119630	126790	Мы не тянемся вперед, мы выполняем подворот таза, делаем выставляем его в задний наклон,
127310	130510	раскрываем грудной отдел и напрягаем ягодичку.
131050	134310	И только в этой позиции мы слегка подаем корпус вперед.
135250	136650	Расслабили ягодичку.
137210	140350	Подвернули таз, напрягаем ягодицу, подаем корпус вперед.
140710	140710	
141330	142850	Ручки поднимаем наверх.
144070	144290	Три.
146430	147190	Четыре.
147490	149770	Отлично, делаем в течение обмы минуты.
150110	150290	Пять.
163370	165230	Не забываем, напрягаем ягодицу.
165950	169150	Только после этого мы слегка подаем корпус вперед.
173830	175750	На выдохе.
184030	186650	Меняем сторону, делаем по 30 секунд.
188430	189570	Все то же самое.
189810	193730	Подворачиваем таз, выставляем его в задний наклон, напрягаем ягодицу.
195230	197410	И слегка подаем корпус вперед.
201470	206490	Двигаемся исключительно с детальной плоскостью вперед и назад.
208150	209770	Ручки наверх.
211290	212050	Отлично.
216030	220970	Ощущения должны быть под передней поверхности ведра и в районе подсдошной поясничной мышцы.
228650	230710	Переходим к следующему упражнению.
231510	237490	Садимся в позицию глубокого приседа.
237670	241910	Локтями давим в колени, ставим ручки на пол.
